-173.534000	-15.487000	1980.998745623355	12	31	5.600000	33.000000	12	58	53.6
151.453000	46.060000	1980.998467257387	12	31	6.500000	33.000000	10	32	11.0
79.046000	50.040000	1980.986811507033	12	27	5.900000	0.000000	4	9	8.2
-174.346000	-21.126000	1980.985192907559	12	26	5.500000	33.000000	13	56	4.2
-179.594000	-22.214000	1980.984273973512	12	26	5.500000	592.000000	5	51	45.3
112.041000	-8.955000	1980.980865032382	12	24	5.600000	63.000000	23	55	6.4
145.496000	-5.640000	1980.980048415048	12	24	5.600000	33.000000	16	44	43.0
178.165000	-16.290000	1980.976536335003	12	23	5.900000	33.000000	9	53	42.6
50.590000	34.503000	1980.974141146782	12	22	5.500000	41.000000	12	51	21.0
158.420000	-9.047000	1980.972043269961	12	21	5.900000	28.000000	18	25	41.1
138.556000	-0.987000	1980.968902815726	12	20	5.500000	33.000000	14	50	32.4
140.643000	30.581000	1980.967161312867	12	19	6.200000	82.000000	23	32	41.9
-174.359000	-21.339000	1980.964818527373	12	19	6.100000	33.000000	2	57	57.4
50.652000	34.587000	1980.964626846792	12	19	5.800000	33.000000	1	16	56.0
44.670000	36.009000	1980.963179758652	12	18	5.800000	33.000000	12	34	15.6
-129.496000	49.479000	1980.960879591682	12	17	6.800000	10.000000	16	21	58.8
169.875000	-21.417000	1980.959107300521	12	17	6.000000	86.000000	0	47	54.7
-175.451000	-25.025000	1980.956091084168	12	15	5.500000	33.000000	22	18	14.7
90.384000	45.988000	1980.956078906092	12	15	5.500000	33.000000	22	11	49.6
-172.300000	-17.593000	1980.954486863742	12	15	6.300000	33.000000	8	12	45.4
149.792000	-6.101000	1980.952082751467	12	14	5.800000	56.000000	11	5	41.6
171.064000	52.994000	1980.951554904119	12	14	5.600000	24.000000	6	27	29.8
79.005000	49.932000	1980.951250588191	12	14	5.900000	0.000000	3	47	6.6
123.894000	6.677000	1980.947759926508	12	12	5.500000	44.000000	21	7	23.5
149.114000	-58.937000	1980.946867862654	12	12	5.600000	10.000000	13	17	14.3
131.746000	32.418000	1980.945260385043	12	11	5.600000	51.000000	23	10	2.0
-68.153000	-21.272000	1980.944700702667	12	11	6.100000	80.000000	18	15	3.5
